,ALE
941,78.0
1137,73.5
2048,74.9
2149,75.6
236,75.8
1002,74.2
564,76.6
1280,77.2
2792,78.1
3124,73.9
2088,75.5
304,78.5
475,73.5
2540,76.1
2790,77.6
1885,79.5
1556,75.8
1762,77.8
1230,76.6
2067,74.6
129,74.4
1553,76.0
2544,78.5
2707,73.8
1225,79.5
2431,75.4
34,75.7
1994,77.2
1191,76.3
2643,74.8
594,74.6
2455,74.2
1908,74.8
2045,74.9
2500,76.2
319,70.2
1246,74.5
1413,72.7
1927,73.2
2226,75.8
2994,75.3
2740,76.3
188,78.2
2159,74.1
1713,76.4
927,78.2
2979,80.3
2985,78.3
2861,74.6
2470,75.5
2865,76.2
1561,75.4
2661,76.0
2735,75.0
620,74.3
3073,78.5
2314,76.8
1581,74.9
3080,77.5
3114,76.3
1610,77.3
1550,75.7
1686,76.4
1764,78.0
51,75.2
1565,75.2
1817,76.4
3083,77.0
2323,75.6
2761,76.8
579,76.8
1516,75.9
2668,75.9
1418,73.6
184,78.1
2514,75.5
2352,76.7
2864,79.9
2557,75.0
1202,77.4
1731,78.9
2185,77.1
1386,78.7
473,74.1
826,78.6
2636,75.1
763,77.6
2638,76.2
534,73.4
1857,76.7
659,78.5
2348,69.6
1746,75.7
2244,76.9
2742,76.9
2884,76.8
2674,75.4
704,75.1
1462,72.1
1076,74.6
2575,77.9
1736,77.8
1768,78.2
2945,78.0
1207,77.4
790,78.0
575,77.9
493,75.5
1769,78.6
892,77.0
2243,76.7
2235,77.1
535,74.1
996,75.0
1680,77.5
2279,78.2
876,77.1
647,78.8
2292,72.3
2859,77.4
1337,78.7
1818,75.8
1482,77.8
1889,76.2
263,78.2
105,76.9
2041,73.6
2646,75.5
721,75.5
1991,77.6
150,75.5
1725,77.0
1788,75.3
654,78.0
1621,76.9
2191,74.2
387,72.9
819,78.7
516,73.5
133,74.9
2507,75.8
786,77.6
2804,78.6
2418,78.0
1854,78.2
1119,74.1
615,76.6
565,76.8
1495,77.2
1139,75.6
2893,75.7
1373,78.0
1551,75.4
1863,76.5
2011,78.3
1093,75.4
588,74.9
130,73.9
254,76.3
436,73.8
3065,78.6
427,73.6
2249,77.3
318,76.4
881,78.9
3139,77.7
1517,75.7
2954,78.8
9,75.3
1880,79.0
1299,75.8
2303,76.7
1044,75.4
79,76.9
2601,74.4
2684,75.4
2953,77.7
1206,75.0
456,73.8
363,76.6
65,71.7
1390,79.4
2448,73.0
1416,73.3
1297,77.6
1545,76.7
1321,81.0
1056,72.7
551,77.0
2702,73.7
641,78.6
2242,78.2
731,77.6
290,77.9
1035,75.2
2897,74.1
2336,76.1
2018,77.2
2475,74.8
1606,77.5
2304,77.0
2290,76.4
2396,77.0
732,76.0
2930,73.1
1169,71.6
1018,74.5
1882,77.8
384,74.8
770,76.6
2219,77.4
2926,76.6
1521,77.0
1113,75.0
2047,75.9
947,78.4
1670,80.1
1153,73.9
2239,79.5
2377,76.8
3094,78.2
2132,76.4
2387,78.8
1942,75.9
3117,79.7
1283,77.2
3089,78.1
1530,75.4
2891,75.2
2853,76.6
1630,75.8
1220,78.5
1692,79.0
1045,73.6
760,77.2
191,74.7
674,74.6
773,77.1
1302,76.5
1869,79.0
2923,80.9
2910,73.4
1057,72.5
2080,74.2
2628,80.2
1782,77.1
2227,77.5
35,74.5
761,78.0
103,74.8
1111,73.4
268,80.8
1932,78.0
3055,79.6
514,72.9
403,72.3
766,73.6
2240,76.2
1027,75.9
753,74.9
2944,73.6
2774,75.4
2611,75.4
1504,77.1
605,77.0
1458,71.2
11,74.6
455,73.3
569,77.8
2835,77.3
1743,78.3
562,77.6
1627,78.3
1041,75.7
1090,75.2
383,75.7
2650,78.1
915,76.1
1039,75.0
1017,74.0
836,78.9
1289,75.7
1375,78.9
3056,77.5
80,76.9
1339,79.4
2073,76.7
1470,71.2
1838,77.9
1022,73.8
132,75.7
3081,78.2
710,76.7
2579,76.8
1276,76.6
1494,75.8
1163,72.9
1554,79.3
1515,72.7
1978,72.3
418,74.1
1441,72.9
2518,74.2
2289,78.8
1681,79.2
195,75.5
955,77.6
336,72.9
1228,77.8
1800,78.5
2481,74.6
544,77.3
849,78.5
2126,77.5
2600,75.7
2537,77.0
2970,78.8
2534,76.7
2427,74.6
1259,77.4
1673,77.4
2598,77.0
1358,78.8
745,76.3
2258,77.5
2465,74.0
733,75.7
1960,75.2
2224,76.6
667,77.3
238,77.8
314,75.8
193,77.1
237,76.1
782,75.0
1971,75.2
232,78.5
907,77.0
581,79.5
618,77.1
1535,75.8
3029,75.5
2705,76.8
2840,75.7
1328,78.9
2012,76.3
2037,77.2
98,76.8
545,80.5
776,75.9
653,75.7
2631,75.9
1467,73.4
3097,77.2
571,77.3
489,74.4
2059,77.4
2591,78.3
2870,79.1
1648,76.8
41,75.5
207,76.6
2106,73.7
1776,76.6
3136,76.1
1144,72.8
2966,80.3
1444,72.2
3098,78.5
309,79.2
2780,79.4
1069,76.8
1584,76.7
1066,76.1
1414,72.5
1772,75.5
2195,72.0
64,74.6
1721,77.4
2621,76.3
3066,77.0
1304,76.0
1910,74.4
122,74.3
1088,72.3
769,73.5
1345,79.8
2472,76.0
2111,75.2
1275,78.1
1497,75.6
2158,76.3
2667,74.0
2464,73.5
1738,77.4
1928,76.7
1904,74.2
880,77.5
2964,77.7
1314,77.2
1989,78.3
922,75.6
2003,76.8
171,76.4
2983,77.7
2361,78.5
1902,75.1
500,74.5
1182,78.3
433,75.1
638,74.5
13,74.9
1582,76.5
2184,74.4
744,77.7
2629,75.0
2767,77.8
1194,77.4
2756,74.9
1102,73.8
347,79.3
1208,76.7
401,72.8
92,-2222.2
1773,79.9
110,72.6
2963,77.7
2969,77.9
1706,79.0
1356,78.3
3011,74.4
1253,74.7
1320,77.9
2490,74.2
2061,78.4
2025,77.2
1244,77.2
2065,75.7
1613,74.4
2102,77.2
2846,80.9
1955,77.9
1618,76.9
1408,75.3
1370,80.3
1474,71.1
1607,77.8
1077,75.0
2293,78.2
2366,78.8
756,76.9
1421,74.0
1037,76.1
2125,77.0
2516,75.0
2706,76.8
1542,73.3
967,78.3
157,74.7
400,75.7
2379,74.6
2533,76.6
77,76.9
1447,72.9
2112,77.2
2719,77.5
2423,78.0
2567,76.0
3063,80.0
1329,79.2
2915,75.8
2902,76.6
395,72.7
1595,70.8
851,76.4
845,76.9
2941,72.8
2466,74.4
404,76.7
1385,79.8
449,72.9
2873,77.3
2151,74.3
2800,79.0
2980,78.2
186,78.2
690,78.0
626,78.3
2121,77.3
2089,75.1
1836,77.4
1307,76.2
1023,73.7
413,76.0
2066,77.7
1566,76.7
2932,75.0
315,76.5
2909,75.1
1278,77.4
1300,75.8
2633,73.3
1309,78.5
472,74.8
2825,77.4
486,73.3
282,80.8
2174,74.4
2473,73.9
521,74.7
2022,76.3
2571,77.0
1292,77.0
1475,74.7
1708,78.4
2545,75.5
823,79.1
1436,73.1
331,74.2
2973,77.7
2335,74.8
1351,79.2
793,78.2
2143,74.3
3108,78.0
561,80.8
2499,74.8
59,73.5
2775,76.9
1005,76.3
2318,72.7
421,73.0
2664,76.6
1051,73.9
559,77.3
2057,75.9
165,74.5
1689,78.4
2511,75.5
1602,76.9
2734,79.6
18,74.9
2565,76.3
606,77.3
152,75.7
977,78.4
1966,75.0
2776,78.4
848,79.0
2435,75.5
2597,76.3
509,73.6
1401,74.2
450,75.5
2728,76.2
827,78.9
2578,77.0
3123,77.4
2412,78.0
686,77.6
1200,78.3
2009,76.8
372,78.0
2896,79.1
742,75.7
466,72.8
532,73.8
1784,77.6
2903,78.1
629,77.7
2097,75.6
1491,75.9
2574,75.4
2120,77.4
908,79.3
2260,77.9
1340,78.1
1404,71.4
706,75.8
1422,73.4
1791,77.7
841,78.4
2437,73.9
391,75.3
310,78.0
1892,76.5
775,77.1
2177,74.8
2196,74.6
2094,77.9
1763,78.1
568,77.3
162,69.8
1698,78.3
1798,76.0
2139,74.3
324,74.5
1653,78.7
2588,75.4
831,78.7
2736,76.2
1672,78.4
903,75.6
1209,75.2
2721,75.2
720,77.2
112,78.0
525,72.5
2737,77.0
1959,74.8
1775,75.8
1583,75.2
2330,71.9
1657,78.7
1326,76.8
2614,78.1
168,74.8
2639,75.0
2192,73.2
866,77.8
2677,74.9
2478,76.0
180,76.7
825,79.1
553,74.9
703,76.0
1503,76.1
665,76.6
216,77.3
1484,76.9
1222,79.0
2587,75.0
608,75.6
817,78.9
2265,77.4
95,76.8
914,76.4
352,78.9
2213,76.1
2157,74.8
2129,74.3
185,78.2
1428,74.2
1089,72.6
21,75.3
354,74.8
179,76.4
2787,77.8
2458,75.4
809,77.9
459,76.0
2457,74.9
2814,77.3
681,78.1
1905,75.6
460,75.7
115,73.3
2229,77.5
2419,66.6
2175,75.9
1714,78.7
31,72.7
37,73.9
1649,76.4
3072,77.7
3047,77.3
307,77.8
204,80.8
932,76.6
2699,75.9
1922,74.9
507,73.8
483,73.4
582,76.6
1647,72.8
540,72.5
572,77.9
2006,76.7
1840,76.9
2461,73.8
1548,75.4
3125,77.2
389,73.9
1947,76.9
367,79.1
645,77.9
1903,76.0
2519,78.8
2504,73.2
2991,74.9
492,77.1
719,77.2
2727,76.9
424,72.5
2751,75.3
802,77.9
1568,74.8
317,72.0
1269,78.0
1559,77.3
174,75.6
862,79.2
293,76.8
2141,76.4
2200,75.5
2938,73.4
2161,75.5
1867,76.8
2354,74.7
2869,73.2
1350,78.2
2687,76.0
3084,77.1
2302,76.1
2709,77.9
921,77.9
2373,78.6
2882,73.7
1117,73.1
1015,75.5
1179,77.4
2253,76.9
454,73.4
598,78.0
946,76.9
495,72.8
1476,72.9
796,77.9
1794,77.4
291,80.1
1074,76.1
2389,79.1
274,77.9
2346,76.8
43,71.9
2662,75.4
1552,72.7
332,74.5
1974,75.8
1972,76.3
1709,78.3
183,74.7
816,79.4
1249,77.7
2189,74.4
1133,74.8
2607,76.2
158,72.6
2309,79.5
73,76.9
159,75.7
1951,74.5
2488,75.7
1562,76.3
961,78.2
2484,75.1
211,78.6
1723,79.0
2796,80.8
1633,77.5
471,74.5
2063,77.2
942,79.0
2350,76.5
2347,71.4
1004,76.1
868,77.3
765,76.9
2172,75.0
2345,76.2
1440,72.5
2657,76.7
1138,75.7
1190,78.2
2547,77.0
1737,78.4
673,77.3
1152,72.5
3035,75.2
2862,77.4
1508,75.8
1580,74.9
1224,79.4
2031,76.7
635,78.2
366,76.8
305,77.9
717,75.1
2170,76.8
2733,75.2
1813,77.0
376,78.0
2763,75.1
2194,76.7
370,76.5
2055,76.2
1916,76.4
2644,77.7
409,75.1
2564,75.2
200,75.0
3062,79.7
1578,76.1
249,78.5
1705,79.0
2781,76.3
342,76.0
335,74.5
33,74.5
1884,77.3
27,73.5
2051,76.4
1060,75.1
7,73.1
2103,76.3
3113,79.7
2952,77.3
1888,75.9
2211,76.1
590,77.6
203,77.4
2246,77.5
364,74.6
44,76.1
2039,76.8
2883,76.0
1362,80.3
2236,78.3
2370,78.3
2390,77.5
3033,75.1
2750,74.4
646,76.8
893,77.7
190,78.8
1988,76.7
145,74.7
2907,75.8
1054,72.2
1543,75.8
2685,77.1
444,74.1
1598,76.8
2723,75.2
1703,79.5
839,79.0
2298,77.3
2164,75.0
2503,76.1
227,79.3
253,76.5
632,77.4
962,78.1
2493,73.5
1188,77.3
2541,78.5
60,73.3
299,80.8
2394,66.6
2584,75.4
2731,77.3
1147,74.2
570,77.6
2042,76.5
1666,77.5
1642,75.4
3050,78.6
657,76.7
1539,76.5
2145,74.1
1620,77.7
1349,77.8
2620,73.9
1006,74.6
479,73.5
1815,77.0
1591,74.9
1168,74.3
2027,76.3
3022,75.2
754,75.6
878,79.6
55,74.9
2616,76.3
2286,77.3
1151,73.1
154,75.2
2333,72.5
443,75.3
2784,77.6
2087,77.2
2520,75.8
2683,77.3
89,76.9
430,73.2
1834,77.0
1453,74.4
2123,77.5
2183,74.5
2548,76.4
783,75.7
50,74.6
1628,76.4
980,76.6
988,75.6
1110,76.2
2206,77.2
1479,74.0
461,73.0
2968,79.2
1201,77.2
343,77.1
2998,74.4
1365,76.8
858,79.3
949,78.4
2949,77.4
609,76.8
1126,72.6
1804,78.4
1952,76.9
2521,72.0
2617,75.2
1042,75.0
1669,77.8
2134,74.6
379,73.8
1034,77.0
1342,78.2
1752,75.7
679,78.0
1213,76.1
448,74.3
656,74.9
2199,74.1
1192,76.9
3019,75.2
2808,77.0
1100,74.9
1624,77.7
2583,75.4
1055,73.7
771,75.6
1048,73.6
2032,79.5
517,72.9
411,74.3
46,73.9
663,78.0
2704,76.1
813,77.8
1749,75.5
2317,74.8
273,77.9
1452,71.9
755,75.9
1046,75.3
1115,73.5
1586,76.7
1021,75.2
901,76.7
613,77.1
818,78.4
583,77.9
2901,74.4
2946,76.7
1871,79.0
1590,73.4
3086,75.7
1777,74.7
989,76.4
2444,74.8
1803,77.0
1780,76.7
912,77.4
1245,77.9
206,76.6
1945,77.5
1700,77.0
708,76.3
1599,77.7
1830,76.2
1267,77.5
