,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
960,20,149,19129,5.7,9.5,2.3,4.1,12.8,30.7,13.7,1319,440,258,1164,964,2709061,86.4,-1111.1,-1111.1,-1111.1,-1111.1,22.9,73.2,19.3,5.0,1887,2313,273,62.7,36.6
937,20,103,73113,7.1,11.1,2.8,2.3,9.1,15.3,13.5,6515,2046,955,4559,3657,7440,84.8,84.7,40.7,63.5,69.4,21.5,78.8,24.2,5.8,6040,6272,1063,42.4,52.0
1131,22,41,20380,10.2,14.9,8.9,0.8,25.9,34.1,9.2,5099,728,676,1069,1086,68,78.7,-1111.1,-1111.1,-1111.1,-1111.1,41.6,87.6,36.8,8.9,4562,3154,530,19.6,29.4
2645,48,249,40951,8.7,15.3,9.0,1.1,15.9,28.5,6.3,8641,1101,1377,2056,1810,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.5,9254,5061,963,39.1,14.7
2016,38,57,8364,8.7,12.1,3.3,2.5,12.3,18.1,13.1,1234,214,132,486,275,11409354,78.2,-1111.1,-1111.1,-1111.1,-1111.1,21.4,77.5,21.6,5.7,709,1258,119,59.8,35.9
2308,42,133,408801,7.7,12.0,3.3,2.2,-2222.2,15.9,10.8,54192,9193,7788,23058,20522,9062460,82.4,77.5,44.4,70.8,71.5,23.5,75.0,24.6,6.9,33119,52103,6848,66.8,41.8
538,13,311,24055,7.3,8.1,5.1,1.8,5.7,21.8,18.1,3963,490,654,1488,1225,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,27.5,-1111.1,-1111.1,6.7,3153,3202,579,33.3,16.6
530,13,295,63890,10.2,18.0,6.0,0.9,12.5,17.3,10.3,14454,1608,2632,3925,3233,85453,76.1,76.7,-1111.1,-1111.1,-1111.1,30.6,83.1,28.1,8.2,7490,9408,2183,20.3,12.5
1938,37,101,146437,7.6,12.9,3.7,1.6,20.4,28.8,13.3,23073,3073,3264,8271,9444,105521,88.4,81.3,51.2,-1111.1,75.2,31.9,76.5,24.2,7.9,17715,11550,3782,34.8,13.0
144,5,71,24042,6.6,10.3,6.6,0.9,26.9,23.3,17.0,5110,504,891,1521,1346,296085,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.7,81.0,-1111.1,8.6,4420,3133,867,74.9,25.0
1724,31,145,11060,6.4,9.4,3.3,1.0,9.4,16.5,18.9,905,209,153,676,411,33313,-1111.1,-1111.1,34.8,-1111.1,78.5,25.5,79.5,22.6,6.8,1663,2147,244,81.4,72.3
