,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Abbr,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,ALE
84,2,188,Northwest Arctic,AK,7621,6.1,13.0,7.3,2.1,26.9,21.7,67.4,1028,368,-2222,334,562,498749400,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1291,348,51,39.4,39.4,76.9
85,2,201,Prince of Wales-Outer Ketchikan,AK,5660,5.1,8.5,5.4,2.8,29.2,-1111.1,15.9,575,334,-2222,306,426,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1176,401,74,35.3,53.0,76.9
86,2,220,Sitka,AK,8986,3.8,8.3,2.2,2.5,18.4,-1111.1,16.7,534,257,-2222,484,682,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1093,749,94,189.2,77.9,76.9
87,2,232,Skagway-Hoonah-Angoon,AK,3126,2.1,9.3,3.9,3.5,24.6,-1111.1,-1111.1,335,241,-2222,178,238,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,598,322,69,0.0,0.0,-2222.2
88,2,240,Southeast Fairbanks,AK,6614,5.3,8.4,2.8,5.7,37.5,33.0,33.1,503,336,-2222,340,523,1606,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1306,451,85,30.2,60.5,76.9
89,2,261,Valdez-Cordova,AK,9899,6.4,8.4,3.0,3.9,18.3,36.7,13.1,719,494,-2222,532,754,193,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1551,634,114,50.5,30.3,76.9
90,2,270,Wade Hampton,AK,7541,5.9,14.7,7.3,2.2,34.8,15.9,66.5,1066,525,-2222,302,559,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2244,378,50,0.0,0.0,76.9
91,2,280,Wrangell-Petersburg,AK,6245,3.1,7.0,2.8,3.1,18.7,-1111.1,18.0,569,293,-2222,338,470,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1015,631,97,96.1,64.1,76.9
92,2,282,Yakutat,AK,722,-1111.1,-1111.1,-1111.1,5.7,22.0,-1111.1,-1111.1,79,34,-2222,41,54,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,114,-2222,-2222,0.0,0.0,-2222.2
93,2,290,Yukon-Koyukuk,AK,6143,4.3,9.7,6.4,3.2,31.0,58.3,91.3,913,365,-2222,311,478,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1300,493,71,16.3,16.3,76.9
94,4,1,Apache,AZ,69343,6.7,11.6,6.0,2.8,34.8,85.8,22.2,13318,2313,1323,3344,4052,3173232,78.8,70.1,32.8,-1111.1,-1111.1,22.6,64.6,18.4,7.5,17218,5982,1204,51.9,23.1,73.9
